Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
God-ish,神っぽいな,25.0,25,1035,Expert,385,
At God's Mercy,神のまにまに,25.0,25,900,Expert,201,
Kuusou Forest,空想フォレスト,25.0,25,917,Expert,753,
Waraetara Ee Yan!,笑えたらえーやん！,25.0,25,878,Expert,637,
Shuuen Touhikou,終焉逃避行,25.0,25,721,Expert,547,
Singing of a flower,花を唄う,25.0,25,807,Expert,137,
Reincarnation Apple,転生林檎,25.0,25,851,Expert,533,
Transparent Elegy,透明エレジー,25.0,25,848,Expert,520,
Transparent Palette,透明なパレット,25.0,25,852,Expert,646,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,25.0,25,1028,Expert,341,
Rain and Petra,雨とペトラ,25.0,25,976,Expert,210,
Music Like Magic!,魔法みたいなミュージック！,25.0,25,1080,Expert,317,
Mahou Shoujo to Chocolate,魔法少女とチョコレゐト,25.0,25,797,Expert,700,
Can't Make A Song!!,,25.0,25,907,Expert,459,
Last of Me,,25.0,25,1084,Expert,598,
MikuFiesta,,25.0,25,867,Expert,479,
NAKAKAPAGPABAGABAG,,25.0,25,882,Expert,563,
sweety glitch,,25.0,25,894,Expert,371,
8.32,8.32,24.0,24,659,Expert,629,
"*Hello, Planet",31.5,24.0,24,931,Expert,118,
39,39,24.0,24,1139,Expert,331,
1925,1925,24.0,24,887,Expert,306,
"""Hmm,Ah,Ah.""",『んっあっあっ。』,24.0,24,742,Expert,430,
Awake Now,Awake Now,24.0,24,723,Expert,244,
Bad Apple!! feat.SEKAI,Bad Apple!! feat.SEKAI,24.0,24,883,Expert,501,
CH4NGE,CH4NGE,24.0,24,789,Expert,513,
CRASH THE PARTY,CRASH THE PARTY,24.0,24,818,Expert,679,
CRAZY,CR詠ZY,24.0,24,615,Expert,421,
Decade,Decade,24.0,24,839,Expert,319,
erase or zero,erase or zero,24.0,24,845,Expert,693,
Flyer!,Flyer!,24.0,24,861,Expert,182,
Flyway,Flyway,24.0,24,1011,Expert,310,
Forward,Forward,24.0,24,737,Expert,55,
FREELY TOMORROW,FREELY TOMORROW,24.0,24,905,Expert,313,
from Y to Y,from Y to Y,24.0,24,847,Expert,96,
Gimme more!,Gimme more!,24.0,24,721,Expert,756,
Hello Builder,Hello Builder,24.0,24,847,Expert,387,
JUMPIN' OVER !,JUMPIN’ OVER !,24.0,24,858,Expert,422,
LEADER,LEADER,24.0,24,763,Expert,460,
Miku,Miku,24.0,24,990,Expert,153,
ODDS&ENDS,ODDS＆ENDS,24.0,24,739,Expert,117,
p.h.,p.h.,24.0,24,739,Expert,297,
PaⅢ.SENSATION,PaⅢ.SENSATION,24.0,24,1032,Expert,195,
Polar Star,Polar Star,24.0,24,697,Expert,610,
Becoming Potatoes,potatoになっていく,24.0,24,721,Expert,52,
purpose,purpose,24.0,24,720,Expert,383,
Q,Q,24.0,24,907,Expert,202,
ray,ray,24.0,24,978,Expert,148,
Saika,Saika,24.0,24,875,Expert,748,
shake it!,shake it!,24.0,24,789,Expert,550,
Snow Fairy Story,Snow Fairy Story,24.0,24,912,Expert,612,
Supernova,Supernova,24.0,24,750,Expert,457,
Sympathy,Sympathy,24.0,24,723,Expert,605,
Un-Lock,Un-Lock,24.0,24,894,Expert,393,
UNDERWATER,UNDERWATER,24.0,24,971,Expert,363,
WAVE,WAVE,24.0,24,794,Expert,522,
Who?,Who?,24.0,24,687,Expert,680,
Wonder Style,Wonder Style,24.0,24,888,Expert,362,
Worlders,Worlders,24.0,24,924,Expert,579,
icedrop,アイスドロップ,24.0,24,704,Expert,140,
Newly Edgy Idols,アイドル新鋭隊,24.0,24,754,Expert,57,
A Word,アコトバ,24.0,24,664,Expert,483,
AttaKAITO,あったかいと,24.0,24,1026,Expert,271,
That Summer Saturates,あの夏が飽和する。,24.0,24,626,Expert,650,
Abelia,アベリア,24.0,24,865,Expert,677,
Our True Story,ありのままのストーリーを,24.0,24,892,Expert,635,
Alkali Rettousei,アルカリレットウセイ,24.0,24,854,Expert,726,
Anti you,アンチユー,24.0,24,610,Expert,582,
I~ya I~ya I~ya,い〜やい〜やい〜や,24.0,24,792,Expert,670,
"1, 2, FanClub",いーあるふぁんくらぶ,24.0,24,863,Expert,174,
Integral,インテグラル,24.0,24,868,Expert,424,
Usseewa,うっせぇわ,24.0,24,1035,Expert,204,
Electric Angel,えれくとりっく・えんじぇぅ,24.0,24,927,Expert,454,
Empurple,エンパープル,24.0,24,813,Expert,507,
All in One,オールイン・ワン,24.0,24,1029,Expert,760,
Mischievous Function,おちゃめ機能,24.0,24,933,Expert,480,
Odorobo,おどロボ,24.0,24,1266,Expert,461,
As You Like It,お気に召すまま,24.0,24,808,Expert,106,
Colorful Foundation,カラフルファンデーション,24.0,24,815,Expert,683,
Airhead,ガランド,24.0,24,761,Expert,200,
Cantarella,カンタレラ,24.0,24,870,Expert,296,
Resonance Between You and Me.,きみとぼくのレゾナンス,24.0,24,896,Expert,523,
Cat Food,キャットフード,24.0,24,895,Expert,530,
Kyou mo harebare,きょうもハレバレ,24.0,24,793,Expert,493,
Kuu Ni Naru,くうになる,24.0,24,769,Expert,417,
kokoro,ココロ,24.0,24,945,Expert,312,
This is the Happiness and Peace of Mind Committee,こちら、幸福安心委員会です。,24.0,24,898,Expert,279,
Summertime Record,サマータイムレコード,24.0,24,1107,Expert,395,
City Lights,シティライツ,24.0,24,649,Expert,791,
Cinema,シネマ,24.0,24,616,Expert,126,
Sweet Magic,スイートマジック,24.0,24,920,Expert,41,
Stardust Rain,スターダストレイン,24.0,24,671,Expert,728,
Snowman,スノーマン,24.0,24,1001,Expert,343,
Smile Symphony,スマイル*シンフォニー,24.0,24,594,Expert,577,
The World Hasn't Even Started Yet,セカイはまだ始まってすらいない,24.0,24,774,Expert,51,
"Even so, It's OK",それでもいいんだよ,24.0,24,897,Expert,274,
Daidaidaidaidai Kirai,ダイダイダイダイダイキライ,24.0,24,687,Expert,722,
Getting Faster and Faster,だんだん早くなる,24.0,24,851,Expert,485,
Teammates,チームメイト,24.0,24,803,Expert,374,
Patchwork Staccato,ツギハギスタッカート,24.0,24,854,Expert,71,
SHOW OFF,てらてら,24.0,24,1035,Expert,257,
De Los Santos,デロスサントス,24.0,24,763,Expert,794,
It was a very nice June,とても素敵な六月でした,24.0,24,1273,Expert,340,
Tobidase! Wandapyoi,とびだせ！わんだぴょい,24.0,24,788,Expert,660,
Traffic jam,トラフィック・ジャム,24.0,24,896,Expert,143,
Dreamer's Beat,ドリーマーズビート,24.0,24,670,Expert,743,
Dream Kiss,ドリーム・キス,24.0,24,515,Expert,696,
Tricologe,トリコロージュ,24.0,24,860,Expert,203,
Hide and Seek,ハイドアンド・シーク,24.0,24,764,Expert,438,
How-to Sekai Seifuku,ハウトゥー世界征服,24.0,24,803,Expert,672,
hug,はぐ,24.0,24,851,Expert,429,
The Future of Beginning,はじまりの未来,24.0,24,972,Expert,573,
Happy Synthesizer,ハッピーシンセサイザ,24.0,24,859,Expert,10,
paradichlorobenzene,パラジクロロベンゼン,24.0,24,916,Expert,275,
"Hello, SEKAI",ハローセカイ,24.0,24,621,Expert,578,
Panda Hero,パンダヒーロー,24.0,24,820,Expert,566,
Hikari no Atsumekata,ひかりのあつめかた,24.0,24,818,Expert,757,
Pikkoon!!,ピッコーン！！,24.0,24,752,Expert,790,
Viva Happy,ビバハピ,24.0,24,597,Expert,11,
phony,フォニイ,24.0,24,1064,Expert,277,
Fragile,フラジール,24.0,24,863,Expert,69,
Black★Rock Shooter,ブラック★ロックシューター,24.0,24,695,Expert,238,
Bless Your Breath,ブレス・ユア・ブレス,24.0,24,696,Expert,72,
Propose,プロポーズ,24.0,24,830,Expert,734,
From Tokyo,フロムトーキョー,24.0,24,640,Expert,130,
Hedgehog,ヘッジホッグ,24.0,24,837,Expert,710,
Bokuno Kamisama,ぼくのかみさま,24.0,24,792,Expert,548,
Bottle Cake,ボトルケーキ,24.0,24,640,Expert,394,
Mind Brand,マインドブランド,24.0,24,764,Expert,473,
Star of Heaven,みかぼし,24.0,24,984,Expert,518,
Mikumiku Ni Shiteageru [Shiteyanyo],みくみくにしてあげる♪【してやんよ】,24.0,24,739,Expert,124,
Mirai,ミライ,24.0,24,1017,Expert,180,
Musekinin Shuugoutai,㋰責任集合体,24.0,24,762,Expert,667,
Melancholic,メランコリック,24.0,24,917,Expert,369,
Melty Land Nightmare,メルティランドナイトメア,24.0,24,934,Expert,70,
Mozaik Role (Reloaded),モザイクロール (Reloaded),24.0,24,871,Expert,477,
Lucky☆Orb,ラッキー☆オーブ,24.0,24,802,Expert,415,
Lapse,ラプス,24.0,24,885,Expert,758,
Remote Control,リモコン,24.0,24,903,Expert,146,
lily-lala,リリィララ,24.0,24,810,Expert,655,
Rumor,ルーマー,24.0,24,863,Expert,490,
ROKI,ロキ,24.0,24,827,Expert,2,
Lost Umbrella,ロストアンブレラ,24.0,24,804,Expert,551,
Romeo & Cinderella,ロミオとシンデレラ,24.0,24,856,Expert,121,
The World is Mine,ワールドイズマイン,24.0,24,1248,Expert,48,
Worldwide Wander,ワールドワイドワンダー,24.0,24,626,Expert,193,
Wah Wah World,ワーワーワールド,24.0,24,789,Expert,77,
Jougen no Tsuki,上弦の月,24.0,24,599,Expert,658,
Otome Dissection,乙女解剖,24.0,24,834,Expert,92,
Kugutsu no Utsutsu,傀儡のうつつ,24.0,24,719,Expert,735,
Hikari,光,24.0,24,784,Expert,754,
Voice of The Beam,光線歌,24.0,24,700,Expert,634,
The Tailor of Enbizaka,円尾坂の仕立屋,24.0,24,842,Expert,347,
Hikyou Sentai Urotander,卑怯戦隊うろたんだー,24.0,24,1025,Expert,661,
Kosho Yashiki Satsujin Jiken,古書屋敷殺人事件,24.0,24,823,Expert,436,
Namo Naki Kakumei,名も無き革命,24.0,24,995,Expert,359,
Kimi ni Okuru Mirai,君に贈る未来,24.0,24,974,Expert,802,
"Ah, It's A Wonderful Cat Life",嗚呼、素晴らしきニャン生,24.0,24,1125,Expert,346,
Round off the Square Earth,四角い地球を丸くする,24.0,24,950,Expert,615,
Pure Summer,夏に透明,24.0,24,691,Expert,565,
yomosugara kimi omou,夜もすがら君想ふ,24.0,24,1004,Expert,255,
Tenshi no Tsubasa。,天使の翼。,24.0,24,1072,Expert,326,
"Tenbin, Yubisaki de Furete",天秤、指先で触れて,24.0,24,866,Expert,789,
Ifuudoudou,威風堂々,24.0,24,975,Expert,95,
Shoujo A,少女A,24.0,24,1265,Expert,666,
Shoujo Rei,少女レイ,24.0,24,1168,Expert,169,
Imperial Girl,帝国少女,24.0,24,962,Expert,262,
Ghost City Tokyo,幽霊東京,24.0,24,904,Expert,102,
Kyo-Fu All Back,強風オールバック,24.0,24,714,Expert,432,
Heart Forecast,心予報,24.0,24,909,Expert,188,
The Servant of Evil,悪ノ召使,24.0,24,609,Expert,191,
The Daughter of Evil,悪ノ娘,24.0,24,609,Expert,190,
Judgement of Corruption,悪徳のジャッジメント,24.0,24,777,Expert,348,
Wakusei Loop,惑星ループ,24.0,24,857,Expert,690,
We are the Stain Busters!,我らステインバスターズ！,24.0,24,797,Expert,400,
Weigh anchor,抜錨,24.0,24,831,Expert,458,
Hoshi wo Tsunagu,星を繋ぐ,24.0,24,753,Expert,375,
Starry sky melody,星空のメロディー,24.0,24,713,Expert,212,
Tokyo Summer Session,東京サマーセッション,24.0,24,892,Expert,621,
The Transient Apple Salesgirl,林檎売りの泡沫少女,24.0,24,1009,Expert,443,
Hikaku Shoukougun,比較症候群,24.0,24,889,Expert,712,
Engeki,演劇,24.0,24,983,Expert,345,
Roshin Yuukai (meltdown),炉心融解,24.0,24,998,Expert,179,
TSUGAIKOGARASHI,番凩,24.0,24,716,Expert,403,
The Snow White Princess is...,白い雪のプリンセスは,24.0,24,1273,Expert,355,
Gift from the Princess who Brought Sleep,眠らせ姫からの贈り物,24.0,24,904,Expert,350,
We are,私は、私達は,24.0,24,712,Expert,287,
I'm the Rain,私は雨,24.0,24,823,Expert,492,
Musunde Hiraite Rasetsu To Mukuro,結ンデ開イテ羅刹ト骸,24.0,24,826,Expert,567,
Uninterrupted Indigo,絶え間なく藍色,24.0,24,1002,Expert,322,
Gunjo Sanka,群青讃歌,24.0,24,711,Expert,141,
Hananikaze,花に風,24.0,24,755,Expert,537,
The sound about petals,花弁、それにまつわる音声,24.0,24,883,Expert,638,
Mx.Nihil,虚無さん,24.0,24,650,Expert,540,
Becoming Pigs Yeah Yeah,豚になってyeah yeah,24.0,24,705,Expert,325,
Dance orchestra,踊れオーケストラ,24.0,24,845,Expert,240,
Touka Suru Ondo,透過する温度,24.0,24,608,Expert,716,
Yoidore Shirazu,酔いどれ知らず,24.0,24,865,Expert,441,
Kindokei,金時計,24.0,24,747,Expert,678,
Kusari no Shoujo -Re Alive-,鎖の少女-Re Alive-,24.0,24,920,Expert,698,
Aoku Kakero!,青く駆けろ！,24.0,24,919,Expert,93,
blue paint,青色絵具,24.0,24,846,Expert,232,
ELECTRIC WEEKEND ZONE,,24.0,24,835,Expert,602,
Just 1db Louder,,24.0,24,628,Expert,568,
「１」,「１」,23.0,23,619,Expert,132,
living millennium,1000年生きてる,23.0,23,673,Expert,434,
39Music!,39みゅーじっく！,23.0,23,839,Expert,45,
Afterglow,Afterglow,23.0,23,727,Expert,309,
alive,alive,23.0,23,804,Expert,82,
blender,blender,23.0,23,812,Expert,404,
Blessing,Blessing,23.0,23,859,Expert,50,
Catch the Wave,Catch the Wave,23.0,23,739,Expert,699,
Change me,Change me,23.0,23,1019,Expert,265,
Color of Drops,Color of Drops,23.0,23,796,Expert,89,
Connecting,Connecting,23.0,23,616,Expert,619,
Copycat,Copycat,23.0,23,752,Expert,247,
Dear,Dear,23.0,23,1032,Expert,390,
ECHO,ECHO,23.0,23,659,Expert,100,
flos,flos,23.0,23,694,Expert,431,
Fondant Step,Fondant Step,23.0,23,679,Expert,618,
Goodbye,Goodbye,23.0,23,734,Expert,228,
Hand in Hand,Hand in Hand,23.0,23,809,Expert,44,
Highlight,Highlight,23.0,23,596,Expert,263,
Intergalactic Bound,Intergalactic Bound,23.0,23,918,Expert,464,
Just Be Friends,Just Be Friends,23.0,23,811,Expert,27,
MOTTO!!!,MOTTO!!!,23.0,23,881,Expert,405,
Nostalogic,Nostalogic,23.0,23,719,Expert,13,
on the rocks,on the rocks,23.0,23,857,Expert,86,
On&On,On&On,23.0,23,712,Expert,426,
Ribbon,Ribbon,23.0,23,598,Expert,717,
Shadow Shadow,Shadow Shadow,23.0,23,601,Expert,476,
Sharing The World,Sharing The World,23.0,23,937,Expert,318,
Unpoison,Unpoison,23.0,23,714,Expert,527,
Aishiteita no ni,あいしていたのに,23.0,23,550,Expert,721,
Irony,アイロニ,23.0,23,861,Expert,293,
Aria,アリア,23.0,23,544,Expert,720,
IF,イフ,23.0,23,845,Expert,211,
Eleventh,イレヴンス,23.0,23,677,Expert,539,
Interviewer,インタビュア,23.0,23,1006,Expert,330,
Tale of the Deep-sea Lily,ウミユリ海底譚,23.0,23,737,Expert,75,
Epilogue without you,エピローグに君はいない,23.0,23,596,Expert,332,
Envy Baby,エンヴィーベイビー,23.0,23,969,Expert,402,
Karakuri Pierrot,からくりピエロ,23.0,23,714,Expert,147,
Kirapipi☆Kirapika,キラピピ★キラピカ,23.0,23,909,Expert,386,
CrystalSnow,クリスタルスノウ,23.0,23,694,Expert,593,
saihate,サイハテ,23.0,23,840,Expert,556,
Charles,シャルル,23.0,23,701,Expert,19,
STROBE LAST,ストロボラスト,23.0,23,726,Expert,305,
Suresure,すれすれ,23.0,23,521,Expert,442,
SEKAI,セカイ,23.0,23,735,Expert,76,
Time Machine,タイムマシン,23.0,23,719,Expert,8,
Double Lariat,ダブルラリアット,23.0,23,936,Expert,256,
Totemoitai Itagaritai,とても痛い痛がりたい,23.0,23,817,Expert,94,
dreamin chuchu,どりーみんチュチュ,23.0,23,873,Expert,123,
Torinokocity,トリノコシティ,23.0,23,753,Expert,242,
DO RE MI FA Rondo,ドレミファロンド ,23.0,23,690,Expert,603,
Nomad,ノマド,23.0,23,515,Expert,189,
Hajimete no Oto,ハジメテノオト,23.0,23,539,Expert,470,
Happy Cheat Day,ハッピーチートデー,23.0,23,645,Expert,463,
Fighter,ファイター,23.0,23,641,Expert,684,
Float Planner,フロート・プランナー,23.0,23,685,Expert,295,
Poka Poka Planet,ぽかぽかの星,23.0,23,783,Expert,617,
Metamo Re:born,メタモリボン,23.0,23,580,Expert,209,
Lagtrain,ラグトレイン,23.0,23,705,Expert,469,
Lustrous,ラストラス,23.0,23,769,Expert,654,
Lonely Universe,ロンリーユニバース,23.0,23,781,Expert,269,
Sekai no Arukikata,世界の歩き方,23.0,23,683,Expert,739,
Kashika,仮死化,23.0,23,1019,Expert,267,
Thousand Year Solo,千年の独奏歌,23.0,23,791,Expert,223,
Waltz of the Deceased,去り人達のワルツ,23.0,23,672,Expert,192,
Natsuyo No Uta,夏夜ノ唄,23.0,23,695,Expert,519,
Solar System Disco,太陽系デスコ,23.0,23,1018,Expert,360,
DSCF,妄想感傷代償連盟,23.0,23,908,Expert,194,
Koufukukei,幸福刑,23.0,23,773,Expert,630,
Yuke,征け,23.0,23,701,Expert,600,
Shinpaku Pairing,心拍ペアリング,23.0,23,575,Expert,382,
Heartbeat #0822,心拍数♯0822,23.0,23,675,Expert,155,
Love is War,恋は戦争,23.0,23,1081,Expert,365,
Because You're Here,愛されなくても君がいる,23.0,23,914,Expert,108,
Tabi ni Kaeru,旅に帰る,23.0,23,670,Expert,742,
Clear and Serene,明鏡止水,23.0,23,728,Expert,481,
Hoshizora Orchestra,星空オーケストラ,23.0,23,1057,Expert,282,
Shinkai Shoujo,深海少女,23.0,23,867,Expert,258,
Blazing,烈火,23.0,23,786,Expert,497,
hot wind,熱風,23.0,23,871,Expert,489,
DUNE,砂の惑星,23.0,23,873,Expert,219,
Coral,箱庭のコラル,23.0,23,862,Expert,324,
Uka,羽歌,23.0,23,714,Expert,740,
Noten,脳天,23.0,23,901,Expert,545,
Hollow,虚ろを扇ぐ,23.0,23,908,Expert,280,
City,街,23.0,23,668,Expert,217,
Aun no Beats,阿吽のビーツ,23.0,23,802,Expert,245,
Hidamari no Setsuna,陽だまりのセツナ,23.0,23,932,Expert,314,
Before the Snow Melts.,雪がとける前に,23.0,23,618,Expert,613,
Karma,,23.0,23,920,Expert,599,
New Worlds,,23.0,23,973,Expert,673,
Plaything,,23.0,23,713,Expert,535,
Ten Thousand Stars,,23.0,23,835,Expert,453,
Thousand Little Voices,,23.0,23,749,Expert,528,
Unsung Melodies,,23.0,23,615,Expert,419,
Passion at 25:00,25時の情熱,22.0,22,625,Expert,409,
glow,glow,22.0,22,875,Expert,339,
Packaged,Packaged,22.0,22,739,Expert,604,
SAIRAI,SAIRAI,22.0,22,601,Expert,747,
Tell Your World,Tell Your World,22.0,22,961,Expert,1,
Love material,アイノマテリアル,22.0,22,643,Expert,144,
Astronauts,アストロノーツ,22.0,22,468,Expert,792,
Achikochi Date-san,あちこちデートさん,22.0,22,693,Expert,516,
Ayano no Koufuku Riron,アヤノの幸福理論,22.0,22,552,Expert,752,
Ichi Ni no San de,いちにのさんで,22.0,22,595,Expert,292,
Kanadetomosusora,カナデトモスソラ,22.0,22,522,Expert,149,
Strata de Machiawase,ストラタでまちあわせ,22.0,22,441,Expert,738,
The Light That Dwells Here,そこに在る、光。,22.0,22,403,Expert,564,
Sono E no Namae wa,その絵の名前は,22.0,22,514,Expert,597,
Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,22.0,22,615,Expert,294,
Twilight Light,トワイライトライト,22.0,22,520,Expert,384,
Near,ニア,22.0,22,702,Expert,73,
Hello/How Are You?,ハロ／ハワユ,22.0,22,690,Expert,66,
Meru,メリュー,22.0,22,632,Expert,218,
Rem,レム,22.0,22,460,Expert,765,
once upon a dream,ワンスアポンアドリーム,22.0,22,683,Expert,105,
Reborn,再生,22.0,22,458,Expert,142,
Kokuhaku,告白,22.0,22,565,Expert,662,
Dawn and Fireflies,夜明けと蛍,22.0,22,691,Expert,311,
kokoronashi,心做し,22.0,22,676,Expert,358,
Love Trial,恋愛裁判,22.0,22,889,Expert,87,
Bloom in mud,泥中に咲く,22.0,22,646,Expert,270,
Hitorinbo Envy,独りんぼエンヴィー,22.0,22,544,Expert,74,
Ikiru,生きる,22.0,22,536,Expert,644,
Aioi,相生,22.0,22,879,Expert,351,
Sora ni Menjite,空に免じて,22.0,22,539,Expert,803,
Jishoumushoku,自傷無色,22.0,22,614,Expert,67,
Embellish,飾って,22.0,22,515,Expert,572,
MONSTER,,22.0,22,864,Expert,640,
Where shall we go?,Where shall we go?,21.0,21,594,Expert,338,
Anata no Sora ga Naku no Nara,あなたの空が泣くのなら,21.0,21,478,Expert,659,
Made to Order,オーダーメイド,21.0,21,480,Expert,196,
Layer Note,レイヤーノートー,21.0,21,563,Expert,532,
Yokanimotorete,余花にみとれて,21.0,21,599,Expert,500,
Kimi no Yoru wo Kure,君の夜をくれ,21.0,21,482,Expert,237,
"Sky Passing Around, Moon Rabbit",回る空うさぎ,21.0,21,607,Expert,607,
Comet Galaxy,彗星ノ銀河,21.0,21,688,Expert,526,
Sad Machine,,21.0,21,495,Expert,609,
